cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
6 1237655504034661839 256.669532 0.128 35.493753 0.106 23.990 0.571 24.132 0.359 22.978 0.197 22.907 0.277 22.346 0.471 nan
3 1237655504034660897 256.669612 0.008 35.477116 0.007 20.409 0.104 18.427 0.010 17.282 0.006 16.805 0.006 16.482 0.014 nan
6 1237655504034726623 256.669639 0.026 35.459696 0.025 25.238 0.564 22.469 0.101 21.064 0.041 20.141 0.029 19.550 0.059 0.0
6 1237655504034660824 256.670503 0.004 35.520572 0.004 22.386 0.184 19.775 0.014 18.345 0.007 17.556 0.006 17.132 0.011 nan
6 1237655504034726562 256.670772 0.020 35.398455 0.020 22.147 0.157 21.032 0.033 20.674 0.030 20.535 0.038 20.517 0.135 nan
6 1237655504034660823 256.671034 0.003 35.522244 0.003 21.954 0.132 19.179 0.010 17.763 0.006 17.008 0.005 16.602 0.008 nan
3 1237655504034726822 256.671714 0.127 35.380787 0.163 23.869 0.694 22.551 0.136 22.372 0.154 21.589 0.120 21.511 0.391 nan
6 1237655504034726033 256.671783 0.157 35.394661 0.167 24.896 0.635 25.008 0.534 23.237 0.247 21.728 0.101 21.474 0.291 nan
6 1237655504034727088 256.672014 0.165 35.373556 0.246 23.187 0.386 24.463 0.509 22.527 0.154 21.700 0.111 21.102 0.242 nan
3 1237655504034727283 256.672060 0.154 35.456931 0.153 25.351 0.679 24.274 0.501 22.878 0.234 22.073 0.179 21.421 0.354 1.0
6 1237655504034726707 256.672096 0.150 35.423373 0.166 26.225 0.264 24.164 0.385 23.780 0.366 22.842 0.258 23.019 0.518 nan
3 1237655504034726705 256.672275 0.055 35.420302 0.044 23.373 0.611 21.934 0.093 20.484 0.037 20.002 0.038 19.573 0.092 nan
3 1237655504034726256 256.672474 0.137 35.413267 0.146 24.055 0.591 24.066 0.362 23.198 0.238 22.202 0.153 21.619 0.322 nan
6 1237655504034660554 256.672527 0.036 35.507731 0.035 24.273 0.647 23.005 0.155 21.443 0.055 20.204 0.031 19.550 0.059 nan
6 1237655504034726031 256.672932 0.001 35.393412 0.001 19.260 0.022 17.032 0.004 16.234 0.004 16.007 0.005 15.907 0.006 nan
3 1237655504034660898 256.672963 0.413 35.476556 0.640 24.630 0.686 24.948 0.532 24.487 0.533 22.585 0.222 21.974 0.424 nan
3 1237655504034726640 256.673378 0.099 35.449234 0.110 22.732 0.323 22.596 0.145 21.825 0.101 21.954 0.177 21.856 0.529 1.0
3 1237655504034726399 256.673422 0.038 35.427308 0.037 22.430 0.226 21.921 0.079 20.982 0.047 20.738 0.056 20.563 0.168 nan
3 1237655504034726563 256.673460 0.051 35.398328 0.056 23.043 0.364 22.443 0.113 21.443 0.063 21.061 0.069 20.589 0.167 nan
6 1237655504034726032 256.673597 0.049 35.395589 0.048 23.802 0.532 23.486 0.242 21.801 0.075 20.107 0.028 19.213 0.046 nan
6 1237655504034726706 256.673609 0.047 35.421210 0.052 23.986 0.639 23.196 0.204 21.733 0.077 21.395 0.087 20.980 0.218 nan
6 1237655504034726806 256.673683 0.038 35.385490 0.036 22.727 0.255 21.938 0.069 21.312 0.052 21.047 0.061 21.374 0.285 nan
3 1237655504034726398 256.673724 0.011 35.427937 0.011 21.946 0.222 19.940 0.022 18.847 0.012 18.413 0.013 18.050 0.030 nan
